Lag,PACF
0,1.0
1,0.9987554310501375
2,0.030487182677882575
3,0.013276162246893434
4,0.037061865333464755
5,-0.02257111565595033
6,-0.02936773390176569
7,0.050904117723087214
8,-0.038890954352280405
9,0.014503221705038993
10,-0.06300939409626521
11,0.04293832530849066
12,0.022039648067998376
13,0.009670852568429818
14,0.015904752886798674
15,-0.006524188216848406
16,0.02512550092127041
17,-0.044798097438793504
18,0.0032510229199699445
19,-0.00830185875688156
20,0.0009356035891490091
21,0.016764820100761534
22,-0.030571229978177683
23,0.0012559049796232445
24,0.03879082039531034
25,0.04883510738794418
26,0.004156759375540984
27,-0.0035186385772323684
28,0.007657225193161929
29,-0.012784683294721917
30,0.006930795050997865
31,0.01730482192847425
32,-0.0017237004027503377
33,0.011651527167569517
34,-0.0007641977075833299
35,-0.026492245810072885
36,0.013946515732620776
37,-0.001920614553474439
38,0.005304252139398716
39,0.014524039500782788
40,0.011806759527001179
